id,tipo_placa,placa,tipo_contrato,carroceria_id,autobusero_id,activo,observaciones
418,GB,3218,0,95,636,1,
419,GB,3219,0,95,636,1,
420,PUBLI,3220,0,95,636,1,
421,GB,3223,0,95,636,1,
422,GB,3224,0,95,636,1,
423,GB,3225,0,95,636,1,
424,GB,3229,1,95,636,1,
425,GB,2486,0,96,638,1,
426,LB,1838,0,22,638,1,
427,GB,9913,0,32,638,1,
428,GB,1837,0,22,638,1,
429,GB,2484,2,96,638,1,
430,GB,2268,0,54,638,1,
431,PUBLI,4403,0,6,638,1,
432,SJB,8254,2,37,638,1,
433,PUBLI,13938,0,97,656,1,
434,SJB,10088,0,32,656,1,
435,SJB,13664,0,36,656,1,
436,PUBLI,1077,0,37,651,1,
437,PUBLI,2001,0,33,651,1,
438,CB,1570,2,37,646,1,
439,HB,3909,2,98,663,1,
440,LB,1997,0,33,651,1,
441,SJB,11602,0,23,633,1,
442,SJB,12411,0,23,633,1,
443,SJB,14549,1,40,633,1,
444,PUBLI,3226,0,95,636,1,
445,PUBLI,10724,2,35,648,1,
446,PUBLI,2701,0,64,646,1,
447,CB,3072,0,65,629,1,
448,CB,3073,0,65,629,1,
449,HB,2721,2,99,654,1,
450,LB,1504,0,67,651,1,
451,AB,4401,2,3,631,1,
452,LB,1282,0,1,651,1,
453,PUBLI,1730,0,26,651,1,
454,PUBLI,1733,0,26,651,1,
455,PUBLI,1729,2,26,651,1,
456,PUBLI,1959,0,25,651,1,
457,PUBLI,1148,2,37,651,1,
458,PB,1995,0,36,654,1,
459,AB,5187,0,99,654,1,
460,LB,1734,2,26,651,1,
461,CB,2743,2,13,661,1,
462,CB,2619,0,13,661,1,
463,PUBLI,1836,0,25,651,1,
464,HB,2666,1,52,620,1,
465,HB,3625,2,103,620,0,
466,HB,3665,1,103,620,1,
467,HB,3925,1,101,620,1,
468,AB,5104,1,52,620,1,
469,HB,4002,2,101,620,0,
470,HB,4001,2,101,620,0,
471,HB,2996,1,52,620,1,
472,HB,2875,1,52,620,1,
473,HB,4000,1,101,620,1,
474,AB,4160,1,9,620,1,
475,AB,4159,1,9,620,1,
476,HB,2378,1,12,620,1,
477,HB,2997,2,52,620,0,
478,HB,2998,1,52,620,1,
479,HB,2380,1,12,620,1,
480,HB,2379,1,12,620,1,
481,HB,2481,1,12,620,1,
482,HB,2482,1,12,620,1,
483,HB,2480,2,12,620,1,
484,LB,2058,1,68,651,1,
485,PUBLI,1956,0,25,651,1,
486,LB,1957,0,25,651,1,
487,PUBLI,1953,1,25,651,1,
488,HB,2668,2,52,620,0,
489,HB,2667,1,52,620,1,
490,HB,2773,2,52,620,0,
491,HB,2771,1,52,620,1,
492,HB,2880,1,52,620,1,
493,HB,3664,2,13,620,0,
494,HB,3599,1,10,620,1,
495,HB,3600,2,76,620,0,
496,HB,3601,1,76,620,1,
497,HB,3963,0,101,620,1,
498,CB,2305,0,35,655,1,
499,CB,2620,2,13,661,1,
500,LB,1280,2,1,651,1,
501,PUBLI,1144,2,37,651,1,
502,PUBLI,3033,0,2,661,1,
503,AB,6469,1,13,635,1,
504,PB,895,2,3,648,1,
505,PUBLI,3062,0,2,661,1,
506,PB,2245,0,23,661,1,
507,AB,6471,0,13,661,1,
508,CB,2405,2,35,655,1,
509,CB,2590,2,71,655,1,
510,SJB,8945,1,3,621,0,
511,HB,3581,2,65,663,1,
512,HB,2239,1,27,663,1,
513,HB,3451,2,65,663,1,
514,HB,3579,2,65,663,1,
515,GB,2483,2,96,638,1,
516,CB,10105,1,76,621,0,
